Data,Data1,D
9.775000e+03,-6.00e+01,
9.800000e+03,-6.16e+01,
9.825000e+03,-6.48e+01,
9.850000e+03,-6.40e+01,
9.875000e+03,-6.64e+01,
9.900000e+03,-5.76e+01,
9.925000e+03,-6.08e+01,
9.950000e+03,-7.04e+01,
9.975000e+03,-6.08e+01,
1.000000e+04,-6.24e+01,
1.002500e+04,-6.56e+01,
1.005000e+04,-6.24e+01,
1.007500e+04,-6.24e+01,
1.010000e+04,-6.48e+01,
1.012500e+04,-6.00e+01,
1.015000e+04,-6.00e+01,
1.017500e+04,-6.24e+01,
1.020000e+04,-6.64e+01,
1.022500e+04,-6.48e+01,
1.025000e+04,-6.88e+01,
1.027500e+04,-6.56e+01,
1.030000e+04,-7.60e+01,
1.032500e+04,-6.88e+01,
1.035000e+04,-6.64e+01,
1.037500e+04,-6.56e+01,
1.040000e+04,-5.92e+01,
1.042500e+04,-6.08e+01,
1.045000e+04,-6.64e+01,
1.047500e+04,-6.96e+01,
1.050000e+04,-7.04e+01,
1.052500e+04,-7.28e+01,
1.055000e+04,-6.24e+01,
1.057500e+04,-6.40e+01,
1.060000e+04,-6.80e+01,
1.062500e+04,-7.44e+01,
1.065000e+04,-6.56e+01,
1.067500e+04,-6.08e+01,
1.070000e+04,-6.16e+01,
1.072500e+04,-6.08e+01,
1.075000e+04,-6.08e+01,
1.077500e+04,-6.40e+01,
1.080000e+04,-6.16e+01,
1.082500e+04,-6.16e+01,
1.085000e+04,-6.64e+01,
1.087500e+04,-6.16e+01,
1.090000e+04,-6.16e+01,
1.092500e+04,-6.32e+01,
1.095000e+04,-6.16e+01,
1.097500e+04,-6.72e+01,
1.100000e+04,-6.80e+01,
1.102500e+04,-6.16e+01,
1.105000e+04,-6.88e+01,
1.107500e+04,-6.00e+01,
1.110000e+04,-7.68e+01,
1.112500e+04,-7.36e+01,
1.115000e+04,-6.96e+01,
1.117500e+04,-6.16e+01,
1.120000e+04,-7.04e+01,
1.122500e+04,-6.72e+01,
1.125000e+04,-6.32e+01,
1.127500e+04,-5.76e+01,
1.130000e+04,-6.08e+01,
1.132500e+04,-6.08e+01,
1.135000e+04,-5.68e+01,
1.137500e+04,-6.56e+01,
1.140000e+04,-6.56e+01,
1.142500e+04,-6.16e+01,
1.145000e+04,-6.88e+01,
1.147500e+04,-5.84e+01,
1.150000e+04,-5.76e+01,
1.152500e+04,-6.48e+01,
1.155000e+04,-6.56e+01,
1.157500e+04,-6.24e+01,
1.160000e+04,-6.72e+01,
1.162500e+04,-6.40e+01,
1.165000e+04,-6.48e+01,
1.167500e+04,-6.56e+01,
1.170000e+04,-8.00e+01,
1.172500e+04,-6.72e+01,
1.175000e+04,-6.16e+01,
1.177500e+04,-6.64e+01,
1.180000e+04,-6.08e+01,
1.182500e+04,-6.00e+01,
1.185000e+04,-5.84e+01,
1.187500e+04,-6.96e+01,
1.190000e+04,-7.44e+01,
1.192500e+04,-6.80e+01,
1.195000e+04,-6.24e+01,
1.197500e+04,-6.32e+01,
1.200000e+04,-6.56e+01,
1.202500e+04,-7.12e+01,
1.205000e+04,-6.08e+01,
1.207500e+04,-6.80e+01,
1.210000e+04,-6.96e+01,
1.212500e+04,-6.48e+01,
1.215000e+04,-6.96e+01,
1.217500e+04,-6.64e+01,
1.220000e+04,-6.56e+01,
1.222500e+04,-6.08e+01,
1.225000e+04,-7.60e+01,
1.227500e+04,-6.08e+01,
1.230000e+04,-6.56e+01,
1.232500e+04,-6.80e+01,
1.235000e+04,-6.00e+01,
1.237500e+04,-7.60e+01,
1.240000e+04,-7.60e+01,
1.242500e+04,-6.32e+01,
1.245000e+04,-6.40e+01,
1.247500e+04,-6.40e+01,
1.250000e+04,-6.16e+01,
1.252500e+04,-6.72e+01,
1.255000e+04,-6.80e+01,
1.257500e+04,-6.24e+01,
1.260000e+04,-6.48e+01,
1.262500e+04,-6.40e+01,
1.265000e+04,-7.20e+01,
1.267500e+04,-8.40e+01,
1.270000e+04,-6.40e+01,
1.272500e+04,-6.08e+01,
1.275000e+04,-6.32e+01,
1.277500e+04,-6.24e+01,
1.280000e+04,-6.88e+01,
1.282500e+04,-6.16e+01,
1.285000e+04,-7.04e+01,
1.287500e+04,-6.72e+01,
1.290000e+04,-6.72e+01,
1.292500e+04,-7.52e+01,
1.295000e+04,-6.48e+01,
1.297500e+04,-7.04e+01,
1.300000e+04,-7.28e+01,
1.302500e+04,-6.08e+01,
1.305000e+04,-6.48e+01,
1.307500e+04,-6.88e+01,
